Name,Entry,seed availability
FL13110-68,249,no remnant seed
FL13123-50,253,no remnant seed
FL13123-54,254,no remnant seed
FL13123-73,256,no remnant seed
FL13126-69,259,no remnant seed
FLLA17025-4,261,no remnant seed
FLLA17051-2,263,no remnant seed
FLLA17069-41,266,no remnant seed
FLLA17078-54,270,no remnant seed
FLLA17111-1,274,no remnant seed
FLLA17017-69,279,no remnant seed
FLLA17032-5,281,no remnant seed
FLLA16166-79,290,no remnant seed
FLLA16180-50,291,no remnant seed
TX20CAS1013,299,no remnant seed
TX20CAS1014,300,no remnant seed
TX20CAS1021,301,no remnant seed
TX20CAS1024,302,no remnant seed
TX20CAS1025,303,no remnant seed
TX20CAS1034,304,no remnant seed
TX20CAS1071,308,no remnant seed
TX20CAS1075,309,no remnant seed
TX20CAS1077,310,no remnant seed
LA15029SB-18-1-1,312,no remnant seed
LA17089SBS-25-2,315,no remnant seed
LA17089SBS-33-2,316,no remnant seed
SECTARIAT LA495,186,not included in NY 2025 
