observationUnitName,germplasmName,Grain weight - g|CO_350:0005123,Pea grain weight - g|COMP:0000009,harvest_order,plot_number,inter_crop,prior_harvest,prior_crop,prior_rank
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_3,NF502_5,924,NA,36,3,oat,36,oat,2
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_10,TX18OCS9125,970,5,119,10,oat,119,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_14,OKAY,859,9,175,14,oat,175,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_16,NC21-6429,1189,12,173,16,oat,173,pea,4
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_22,NF12AS-91-4_1,815,6,89,22,oat,89,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_24,AURORA,1039,3,61,24,oat,61,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_25,NF05424_2,558,1190,38,25,oat-pea,38,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_30,FLLA17069-52,876,473,15,30,oat-pea,15,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_32,NC20-4526,1055,382,39,32,oat-pea,39,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_34,FLLA17069-53,789,NA,65,34,oat,65,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_36,SCLA17031SBSS-4-1,1009,3,93,36,oat,93,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_37,TX18OCS9104,1092,NA,116,37,oat,116,oat,2
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_43,Savage,797,5,178,43,oat,178,pea,4
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_48,FLLA17088-77,1030,NA,115,48,oat,115,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_50,NC20-4551,815,700,87,50,oat-pea,87,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_54,PA7617-3658,634,NA,33,54,oat,33,pea,4
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_56,HARRISON,881,NA,9,56,oat,9,pea,4
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_62,NF13-4124-4_3,587,NA,67,62,oat,67,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_63,NC21-6505,725,667,86,63,oat-pea,86,oat,2
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_65,NC21-6497,947,545,114,65,oat-pea,114,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_77,NC21-6475,722,569,96,77,oat-pea,96,oat,2
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_81,NF13-4157-4_2,792,NA,42,81,oat,42,pea,4
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_83,NF13-4083-4_6,501,1177,18,83,oat-pea,18,pea,4
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_85,NC21-6576,802,9,6,85,oat,6,pea,4
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_89,LA15015SB-S50,763,802,56,89,oat-pea,56,pea,4
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_95,NF99401_1-1,813,NA,140,95,oat,140,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_98,NC20-4452,1151,406,181,98,oat-pea,181,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_99,NC21-6610,834,229,182,99,oat-pea,182,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_102,FLLA17069-54,667,1201,139,102,oat-pea,139,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_113,FLLA17069-65,696,6,4,113,oat,4,pea,4
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_116,NF13-4173-4_5,772,12,45,116,oat,45,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_118,LA17153SBSS-46-1,595,10,71,118,oat,71,pea,4
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_123,Clav 7618,436,790,138,123,oat-pea,138,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_128,NC21-6492,940,899,165,128,oat-pea,165,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_133,NORA,673,594,100,133,oat-pea,100,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_142,NC20-4402,739,313,23,142,oat-pea,23,pea,4
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_145,NF13-4126-4_3,757,3,52,145,oat,52,pea,4
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_147,NF12AS-122-4_3,767,24,80,147,oat,80,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_149,NC09-4503N,764,242,108,149,oat-pea,108,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_151,NF13-4124-4_8,760,522,136,151,oat-pea,136,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_153,NF12AS-122-4_4,796,1093,164,153,oat-pea,164,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_156,NF13-4214-4_1,776,612,163,156,oat-pea,163,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_160,NF01404A,800,381,107,160,oat-pea,107,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_161,NF12AS-108-4_1,874,NA,102,161,oat,102,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_165,LA17129SBSS-8-1,772,303,48,165,oat-pea,48,oat,2
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_167,NF13-4153-4_2,732,11,24,167,oat,24,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_169,NF13-4214-4_5,664,4,202,169,oat,202,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_174,NF99414-1,903,14,259,174,oat,259,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_175,NC18-5877N,687,10,286,175,oat,286,pea,4
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_192,NC20-4702,994,NA,257,192,oat,257,oat,2
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_199,HORIZON201,921,213,228,199,oat-pea,228,pea,4
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_204,OZARK|POGI,846,8,289,204,oat,289,pea,4
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_207,LA08039SBSBS-56-A1,823,NA,340,207,oat,340,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_212,PA7617-3460,919,14,363,212,oat,363,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_213,TX19CAS0057,865,13,346,213,oat,346,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_216,NF00407,931,3,311,216,oat,311,oat,2
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_218,GERARD224,940,16,283,218,oat,283,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_223,LA17089SBS-45-1-1,1022,12,206,223,oat,206,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_228,NF12AS-100-4_2,798,176,235,228,oat-pea,235,pea,4
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_235,Clav 6982,585,176,338,235,oat-pea,338,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_238,LA99016,997,5,371,238,oat,371,oat-pea,3
