fid,prow,pcol,grow,gcol,5-12-24_count,5-12-24_sum,5-12-24_mean
"1","1","1","1","1",2951,557.845306396484,0.189036023855129
"2","1","1","1","2",2963,640.697418212891,0.216232675738404
"3","1","1","1","3",2957,708.739166259766,0.239681828292109
"4","1","2","1","1",2961,372.913269042969,0.125941664654836
"5","1","2","1","2",2952,549.978637695312,0.186307126590553
"6","1","2","1","3",2956,597.994201660156,0.202298444404654
"7","1","3","1","1",2948,534.904602050781,0.181446608565394
"8","1","3","1","2",2959,598.00537109375,0.202097117638983
"9","1","3","1","3",2960,634.475250244141,0.214349746704102
"10","1","4","1","1",2957,-42.4850769042969,-0.0143676283071684
"11","1","4","1","2",2959,5.38595581054688,0.00182019459633216
"12","1","4","1","3",2951,16.9749755859375,0.00575227908706794
"13","1","5","1","1",2952,547.304901123047,0.185401389269325
"14","1","5","1","2",2954,652.991760253906,0.221053405637748
"15","1","5","1","3",2963,697.654754638672,0.235455536496346
"16","1","6","1","1",2954,794.440155029297,0.268937087010595
"17","1","6","1","2",2961,904.847076416016,0.30558834056603
"18","1","6","1","3",2955,889.549957275391,0.301032134441757
"19","1","7","1","1",2959,619.498840332031,0.209360878787439
"20","1","7","1","2",2951,670.994720458984,0.227378759897995
"21","1","7","1","3",2958,730.186981201172,0.246851582556177
"22","1","8","1","1",2949,35.2417297363281,0.0119504000462286
"23","1","8","1","2",2961,70.4513244628906,0.0237930849249884
"24","1","8","1","3",2957,80.3477172851562,0.0271720383108408
"25","1","9","1","1",2961,647.283905029297,0.218603142529313
"26","1","9","1","2",2955,777.304962158203,0.263047364520543
"27","1","9","1","3",2952,767.205688476562,0.259893525906695
"28","1","10","1","1",2954,886.630310058594,0.300145670297425
"29","1","10","1","2",2951,988.462890625,0.334958621018299
"30","1","10","1","3",2963,1087.26150512695,0.366946171153207
"31","1","11","1","1",2959,549.923919677734,0.185847894450062
"32","1","11","1","2",2957,733.125457763672,0.247928798702628
"33","1","11","1","3",2955,738.953216552734,0.250068770407017
"34","1","12","1","1",2958,719.108612060547,0.243106359722971
"35","1","12","1","2",2950,703.422058105469,0.238448155289989
"36","1","12","1","3",2959,926.005279541016,0.312945346245696
"37","1","13","1","1",2951,882.206176757812,0.298951601747819
"38","1","13","1","2",2961,1019.9602355957,0.344464787435226
"39","1","13","1","3",2955,1041.39682006836,0.352418551630578
"40","1","14","1","1",2964,984.338195800781,0.332097906815378
"41","1","14","1","2",2951,927.111389160156,0.314168549359592
"42","1","14","1","3",2956,905.947540283203,0.306477517010556
"43","2","1","1","1",2954,645.295501708984,0.218448037139128
"44","2","1","1","2",2956,785.298980712891,0.265662713367013
"45","2","1","1","3",2959,682.986755371094,0.230816747337308
"46","2","2","1","1",2959,598.621398925781,0.202305305483535
"47","2","2","1","2",2960,656.927093505859,0.221934828887115
"48","2","2","1","3",2949,534.509460449219,0.181251088656907
"49","2","3","1","1",2956,671.459503173828,0.227151388083162
"50","2","3","1","2",2953,623.762237548828,0.211230016101872
"51","2","3","1","3",2958,328.827270507812,0.111165405851187
"52","2","4","1","1",2955,-71.06396484375,-0.0240487190672589
"53","2","4","1","2",2962,-29.5650024414062,-0.00998143228946869
