"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","germplasmEntryNumber","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Grain weight - g|CO_350:0005123","Heading - %|CO_350:0005127","notes"
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","93353","PIONEER","PION,Pioneer,Pioneer (USA),PIONEER_USA","","plant","722202","Cornell_WinterOatFounders_2024_GH_10_plant_1","1","1","10","","","test","","6.02","0",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","100959","DESOTO","03C0701034,6-138,Arkansas X-2-25-10-1,ARKANSAS_X-2-25-10-1,Ark. Sel. No. X-2-25-10-1,BEL001 435,DESO,Desoto,De Soto,DeSoto,De Soto 3293,HUN003 0400889,RCAT011719","","plant","722147","Cornell_WinterOatFounders_2024_GH_11_plant_1","1","1","11","","","test","","8.72","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","85336","TRISPERNIA|CIAV4009","CI4009","","plant","722195","Cornell_WinterOatFounders_2024_GH_12_plant_1","1","1","12","","","test","","3.82","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","89330","TRISPERNIA|CIAV5100","CD3915,CI5100","","plant","722204","Cornell_WinterOatFounders_2024_GH_13_plant_1","1","1","13","","","test","","10.48","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","93451","NYSEL","Cornell 1375,NYSE,Nysel","","plant","722156","Cornell_WinterOatFounders_2024_GH_14_plant_1","1","1","14","","","test","","2.05","0",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","86425","DUBOIS","03C0700350,AA 268,CAP 2042,CC 6151,DEU001 28703,DUBO,Dubois,Dubois C.I. 6572,Dubois white 1963,GBR005 00065,GBR005 01656,GBR011 1656,GBR011 65,HUN003 0401097,HUN003 0401368,Indiana 4011-4-92,INDIANA4011-4-92,NLD037 3819,Purdue 4011-4-92,RCAT012494","","plant","722152","Cornell_WinterOatFounders_2024_GH_15_plant_1","1","1","15","","","test","","2.57","0",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","84661","TRISPERNIA|CIAV6821","ABD52-SP-190,CI6821","","plant","722176","Cornell_WinterOatFounders_2024_GH_16_plant_1","1","1","16","","","test","","7.08","0",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","97443","NORLINE","03C0800009,392A2-13-1-2-1,AA 269,BGR8959,CC 6154,NORL,Norline,Norline 6903,Norline Oats,Purdue 392A2-13-1-2-1,RL 907","","plant","722201","Cornell_WinterOatFounders_2024_GH_17_plant_1","1","1","17","","","test","","2.1","0",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","87670","TRISPERNIA|CIAV7008","Abd 52-SP-190,C.D. 3915,CI7008,RL 3,RL 334,Trispernia","","plant","722184","Cornell_WinterOatFounders_2024_GH_18_plant_1","1","1","18","","","test","","4.22","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","84890","DADE","CC 6178,CI7495,CIAV7495,Dade,Dade (MO 04831),Dade Oats,GBR005 00647,GBR005 01661,GBR011 1661,GBR011 647,Missouri 04831,MISSOURI04831,Mo. 04831,MO 04831","","plant","722171","Cornell_WinterOatFounders_2024_GH_19_plant_1","1","1","19","","","test","","4.71","100",""
