studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,germplasmEntryNumber,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,Above ground dry biomass - g|day 136|COMP:0000063,Above ground dry biomass - g|day 168|COMP:0000064,Freeze damage severity - 0-9 Rating|CO_350:0005001,Grain weight - g|CO_350:0005123,Grain yield - g/m2|CO_350:0000260,Growth stage - Zadoks|CO_350:0000689,Lodging severity - 0-9 Rating|CO_350:0005007,Pea above ground dry biomass - g|day 136|COMP:0000060,Pea above ground dry biomass - g|day 168|COMP:0000061,Pea flowering date - Julian day|COMP:0000053,Pea freeze damage severity - 0-5 Rating|COMP:0000051,Pea grain weight - g|COMP:0000009,Pea grain yield - g/m2|COMP:0000049,Pea plant height - cm|day 134|COMP:0000062,Pea plant height - cm|day 164|COMP:0000040,Pea winter survival - percent|COMP:0000050,Plant height - cm|day 134|COMP:0000054,Plant height - cm|day 164|COMP:0000023,Weed above ground dry biomass - g|day 136|COMP:0000065,Weed above ground dry biomass - g|day 168|COMP:0000066,Winter survival - percent|CO_350:0000170,notes,Cornell_WinterOatPeaIntercrop_2024_Ithaca_barley_genotype_Calypson,Cornell_WinterOatPeaIntercrop_2024_Ithaca_barley_genotype_Lightning,Cornell_WinterOatPeaIntercrop_2024_Ithaca_barley_genotype_NY17024-2-45,Cornell_WinterOatPeaIntercrop_2024_Ithaca_barley_genotype_Saturn,Cornell_WinterOatPeaIntercrop_2024_Ithaca_barley_genotype_Scala,Cornell_WinterOatPeaIntercrop_2024_Ithaca_barley_genotype_Violetta,Cornell_WinterOatPeaIntercrop_2024_Ithaca_pea_genotype_Blaze
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6565,Cornell_WinterOatPeaIntercrop_2024_Ithaca,winter oat pea intercrop,Augmented,1.26,na,0.3465,,,2023-October-04,2024-July-09,172,"Ithaca, NY - McGowan",703618,NF01401B,,,plot,703914,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_1,2,2,1,1,1,test,,,,1,866,243.7239671,11,1,,,140,NA,NA,NA,,,100,,,,,100,,,,,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6565,Cornell_WinterOatPeaIntercrop_2024_Ithaca,winter oat pea intercrop,Augmented,1.26,na,0.3465,,,2023-October-04,2024-July-09,172,"Ithaca, NY - McGowan",703573,TX18OCS9125,,,plot,703844,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_10,2,2,10,1,10,test,,,,1,970,271.0708697,11,2,,,140,NA,5,1.397272524,,,100,,,,,100,,,,,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6565,Cornell_WinterOatPeaIntercrop_2024_Ithaca,winter oat pea intercrop,Augmented,1.26,na,0.3465,,,2023-October-04,2024-July-09,172,"Ithaca, NY - McGowan",703607,NC21-6610,,,plot,703704,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_100,4,4,100,8,13,test,,,,3,960,281.1456686,11,1,,,140,,2,0.585720143,,,100,,,,,100,,,,,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6565,Cornell_WinterOatPeaIntercrop_2024_Ithaca,winter oat pea intercrop,Augmented,1.26,na,0.3465,,,2023-October-04,2024-July-09,172,"Ithaca, NY - McGowan",703607,NC21-6610,,,subplot,716756,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_100_subplot_1,4,4,100,8,13,test,,129,,,,,,,0,,,,,,0,0,,30,56,0.6,,,,,,,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6565,Cornell_WinterOatPeaIntercrop_2024_Ithaca,winter oat pea intercrop,Augmented,1.26,na,0.3465,,,2023-October-04,2024-July-09,172,"Ithaca, NY - McGowan",703607,NC21-6610,,,subplot,716757,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_100_subplot_2,4,4,100,8,13,test,,,,,,,,,,,,,,,0,0,,35,63,,,,,,,,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6565,Cornell_WinterOatPeaIntercrop_2024_Ithaca,winter oat pea intercrop,Augmented,1.26,na,0.3465,,,2023-October-04,2024-July-09,172,"Ithaca, NY - McGowan",703607,NC21-6610,,,subplot,716758,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_100_subplot_3,4,4,100,8,13,test,,,,,,,,,,,,,,,0,0,,36,68,,,,,,,,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6565,Cornell_WinterOatPeaIntercrop_2024_Ithaca,winter oat pea intercrop,Augmented,1.26,na,0.3465,,,2023-October-04,2024-July-09,172,"Ithaca, NY - McGowan",703582,FLLA17069-54,,,plot,703771,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_101,4,4,101,8,12,test,,,,4,623,165.9209545,11,1,,,140,,5,1.331628848,,,100,,,,,100,,,,,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6565,Cornell_WinterOatPeaIntercrop_2024_Ithaca,winter oat pea intercrop,Augmented,1.26,na,0.3465,,,2023-October-04,2024-July-09,172,"Ithaca, NY - McGowan",703582,FLLA17069-54,,,subplot,716819,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_101_subplot_1,4,4,101,8,12,test,,,,,,,,,,,,,,,0,0,,34,64,,,,,,,,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6565,Cornell_WinterOatPeaIntercrop_2024_Ithaca,winter oat pea intercrop,Augmented,1.26,na,0.3465,,,2023-October-04,2024-July-09,172,"Ithaca, NY - McGowan",703582,FLLA17069-54,,,subplot,716820,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_101_subplot_2,4,4,101,8,12,test,,,,,,,,,,,,,,,0,0,,32,67,,,,,,,,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6565,Cornell_WinterOatPeaIntercrop_2024_Ithaca,winter oat pea intercrop,Augmented,1.26,na,0.3465,,,2023-October-04,2024-July-09,172,"Ithaca, NY - McGowan",703582,FLLA17069-54,,,subplot,716821,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_101_subplot_3,4,4,101,8,12,test,,97,,,,,,,0,,,,,,0,0,,29,65,0.1,,,,,,,,,,
