block,accession,state,crop,source
Block1,NF12AS-122-4_3,KY,Oat,Nobel
Block1,NF12AS-108-4_4,KY,Oat,Nobel
Block1,NF13-4124-4_8,KY,Oat,Nobel
Block1,NF13-4083-4_6,KY,Oat,Nobel
Block1,PI 555733,KY,Oat,Nobel
Block1,NF13-4173-4_4,KY,Oat,Nobel
Block1,NF13-4157-4_2,KY,Oat,Nobel
Block1,NF00407,KY,Oat,Nobel
Block1,NF502_5,KY,Oat,Nobel
Block1,NF13-4124-4_3,KY,Oat,Nobel
Block1,NF13-4124-4_3,KY,Oat,Nobel
Block1,NF12AS-122-4_4,KY,Oat,Nobel
Block1,PI 555733,KY,Oat,Nobel
Block1,NF12AS-107-4_2-1,KY,Oat,Nobel
Block1,NF12AS-108-4_1,KY,Oat,Nobel
Block1,NF97405-1,KY,Oat,Nobel
Block1,NF12AS-91-4_1,KY,Oat,Nobel
Block1,NF13-4083-4_6,KY,Oat,Nobel
Block1,NF97405B2,KY,Oat,Nobel
Block1,Ozark,KY,Oat,Nobel
Block1,NF12AS-108-4_1,KY,Oat,Nobel
Block1,Okay,KY,Oat,Nobel
Block1,NF13-4157-4_2,KY,Oat,Nobel
Block1,NF12AS-108-4_4,KY,Oat,Nobel
Block2,NF01401B,NY,Oat,Nobel
Block2,NF502_5,NY,Oat,Nobel
Block2,NC20-4452,NY,Oat,UON
Block2,FLLA17088-77,NY,Oat,UON
Block2,TX18OCS9125,NY,Oat,UON
Block2,Okay,NY,Oat,Nobel
Block2,NC21-6429,NY,Oat,NCSU-ALT
Block2,CalypsonBarley,NY,Barley,Barley
Block2,Clav 6982,NY,Oat,Nobel
Block2,NF12AS-91-4_1,NY,Oat,Nobel
Block2,Aurora,NY,Oat,Nobel
Block2,NF05424_2,NY,Oat,Nobel
Block2,NF13-4214-4_5,NY,Oat,Nobel
Block2,FLLA17069-52,NY,Oat,UON
Block2,NC20-4526,NY,Oat,UON
Block2,FLLA17069-53,NY,Oat,UON
Block2,SCLA17031SBSS-4-1,NY,Oat,UON
Block2,TX18OCS9104,NY,Oat,UON
Block2,LA08039SBSBS-56-A1,NY,Oat,Nobel
Block2,BlazePea,NY,Pea,Pea
Block3,Savage,NY,Oat,UON
Block3,NC19-3542,NY,Oat,UON
Block3,FLLA17088-77,NY,Oat,UON
Block3,NC20-4551,NY,Oat,UON
Block3,LA17089SBS-45-1-1,NY,Oat,UON
Block3,PI 555733,NY,Oat,Nobel
Block3,Harrison,NY,Oat,Nobel
Block3,BlazePea,NY,Pea,Pea
Block3,NF13-4124-4_3,NY,Oat,Nobel
Block3,NC21-6505,NY,Oat,NCSU-ALT
Block3,NC21-6497,NY,Oat,NCSU-ALT
Block3,NF12AS-122-4_3,NY,Oat,Nobel
Block3,Gerard 227,NY,Oat,NCSU-ALT
Block3,TX18OCS9100,NY,Oat,UON
Block3,FLLA17069-65,NY,Oat,UON
Block3,TX18OCS9104,NY,Oat,UON
Block3,NC21-6475,NY,Oat,NCSU-ALT
Block3,NY_ExptBarley,NY,Barley,Barley
Block3,NF13-4157-4_2,NY,Oat,Nobel
Block3,NF13-4083-4_6,NY,Oat,Nobel
Block4,NC21-6576,NY,Oat,NCSU-ALT
Block4,SCLA17018SBSS-45-1,NY,Oat,UON
Block4,LA15015SB-S50,NY,Oat,UON
Block4,ViolettaBarley,NY,Barley,Barley
Block4,TX19CAS0058,NY,Oat,UON
Block4,NF99401_1-1,NY,Oat,Nobel
Block4,NC20-4452,NY,Oat,UON
Block4,NC21-6610,NY,Oat,NCSU-ALT
Block4,FLLA17069-54,NY,Oat,UON
Block4,ScalaBarley,NY,Barley,Barley
Block4,FLLA17069-53,NY,Oat,UON
Block4,NF12AS-122-4_4,NY,Oat,Nobel
Block4,BlazePea,NY,Pea,Pea
Block4,FLLA17069-65,NY,Oat,UON
Block4,NF13-4173-4_5,NY,Oat,Nobel
Block4,LA17153SBSS-46-1,NY,Oat,UON
Block4,LA99016,NY,Oat,UON
Block4,Harrison,NY,Oat,Nobel
Block4,Clav 7618,NY,Oat,Nobel
Block4,Horizon 578,NY,Oat,NCSU-ALT
Block5,NC21-6492,NY,Oat,NCSU-ALT
Block5,NC20-4526,NY,Oat,UON
