harvest_order,type,location_name,trial_name,plot_number,plot_name,accession_name,entry_number,seedlot_name,row_number,col_number,rep_number,block_number,is_a_control
1,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,168,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_168,NF13-4153-4_2,,,12,1,5,5,
2,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,141,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_141,NC20-4402,,,11,1,5,5,
3,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,140,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_140,NO_OATS_PLANTED,,,10,1,5,5,
4,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,113,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_113,FLLA17069-65,,,9,1,4,4,
5,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,112,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_112,NO_OATS_PLANTED,,,8,1,4,4,
6,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,85,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_85,NC21-6576,,,7,1,4,4,
7,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,84,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_84,NF13-4083-4_6,,,6,1,3,3,
8,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,57,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_57,NO_OATS_PLANTED,,,5,1,3,3,
9,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,56,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_56,HARRISON,,,4,1,3,3,
10,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,29,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_29,FLLA17069-52,,,3,1,2,2,
11,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,28,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_28,NF13-4214-4_5,,,2,1,2,2,
12,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,1,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_1,NF01401B,,,1,1,2,2,
13,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,2,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_2,NF01401B,,,1,2,2,2,
14,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,27,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_27,NF13-4214-4_5,,,2,2,2,2,
15,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,30,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_30,FLLA17069-52,,,3,2,2,2,
16,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,55,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_55,HARRISON,,,4,2,3,3,
17,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,58,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_58,NO_OATS_PLANTED,,,5,2,3,3,
18,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,83,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_83,NF13-4083-4_6,,,6,2,3,3,
19,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,86,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_86,NC21-6576,,,7,2,4,4,
20,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,111,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_111,NO_OATS_PLANTED,,,8,2,4,4,
21,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,114,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_114,FLLA17069-65,,,9,2,4,4,
22,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,139,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_139,NO_OATS_PLANTED,,,10,2,5,5,
23,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,142,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_142,NC20-4402,,,11,2,5,5,
24,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,167,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_167,NF13-4153-4_2,,,12,2,5,5,
25,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,166,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_166,LA17129SBSS-8-1,,,12,3,5,5,
26,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,143,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_143,SCLA17080SBS-4-2,,,11,3,5,5,
27,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,138,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_138,FLLA17069-54,,,10,3,5,5,
28,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,115,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_115,NF13-4173-4_5,,,9,3,4,4,
29,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,110,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_110,NF12AS-122-4_4,,,8,3,4,4,
30,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,87,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_87,SCLA17018SBSS-45-1,,,7,3,4,4,
31,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,82,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_82,NF13-4157-4_2,,,6,3,3,3,
32,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,59,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_59,NO_OATS_PLANTED,,,5,3,3,3,
33,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,54,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_54,PA7617-3658,,,4,3,3,3,
34,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,31,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_31,NC20-4526,,,3,3,2,2,
35,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,26,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_26,NF05424_2,,,2,3,2,2,
