plot,pair,block,accession,state,crop,source,inter_crop
15,8,Block2,CalypsonBarley,NY,Barley,Barley,barley-pea
16,8,Block2,CalypsonBarley,NY,Barley,Barley,barley
347,174,Block10,CalypsonBarley,NY,Barley,Barley,barley-pea
348,174,Block10,CalypsonBarley,NY,Barley,Barley,barley
129,65,Block5,LightningBarley,NY,Barley,Barley,barley
130,65,Block5,LightningBarley,NY,Barley,Barley,barley-pea
265,133,Block8,LightningBarley,NY,Barley,Barley,barley
266,133,Block8,LightningBarley,NY,Barley,Barley,barley-pea
75,38,Block3,NY_ExptBarley,NY,Barley,Barley,barley
76,38,Block3,NY_ExptBarley,NY,Barley,Barley,barley-pea
125,63,Block5,NY_ExptBarley,NY,Barley,Barley,barley-pea
126,63,Block5,NY_ExptBarley,NY,Barley,Barley,barley
219,110,Block7,SaturnBarley,NY,Barley,Barley,barley
220,110,Block7,SaturnBarley,NY,Barley,Barley,barley-pea
315,158,Block9,SaturnBarley,NY,Barley,Barley,barley-pea
316,158,Block9,SaturnBarley,NY,Barley,Barley,barley
99,50,Block4,ScalaBarley,NY,Barley,Barley,barley-pea
100,50,Block4,ScalaBarley,NY,Barley,Barley,barley
177,89,Block6,ScalaBarley,NY,Barley,Barley,barley-pea
178,89,Block6,ScalaBarley,NY,Barley,Barley,barley
87,44,Block4,ViolettaBarley,NY,Barley,Barley,barley
88,44,Block4,ViolettaBarley,NY,Barley,Barley,barley-pea
289,145,Block9,ViolettaBarley,NY,Barley,Barley,barley-pea
290,145,Block9,ViolettaBarley,NY,Barley,Barley,barley
221,111,Block7,Winter Hayden,NY,Oat,Martens,oat-pea
222,111,Block7,Winter Hayden,NY,Oat,Martens,oat
305,153,Block9,Winter Hayden,NY,Oat,Martens,oat
306,153,Block9,Winter Hayden,NY,Oat,Martens,oat-pea
65,33,Block3,Gerard 227,NY,Oat,NCSU-ALT,oat-pea
66,33,Block3,Gerard 227,NY,Oat,NCSU-ALT,oat
237,119,Block7,Gerard 227,NY,Oat,NCSU-ALT,oat-pea
238,119,Block7,Gerard 227,NY,Oat,NCSU-ALT,oat
189,95,Block6,Horizon 201,NY,Oat,NCSU-ALT,oat-pea
190,95,Block6,Horizon 201,NY,Oat,NCSU-ALT,oat
303,152,Block9,Horizon 201,NY,Oat,NCSU-ALT,oat
304,152,Block9,Horizon 201,NY,Oat,NCSU-ALT,oat-pea
119,60,Block4,Horizon 578,NY,Oat,NCSU-ALT,oat
120,60,Block4,Horizon 578,NY,Oat,NCSU-ALT,oat-pea
269,135,Block8,Horizon 578,NY,Oat,NCSU-ALT,oat-pea
270,135,Block8,Horizon 578,NY,Oat,NCSU-ALT,oat
143,72,Block5,NC09-4503N,NY,Oat,NCSU-ALT,oat-pea
144,72,Block5,NC09-4503N,NY,Oat,NCSU-ALT,oat
163,82,Block6,NC09-4503N,NY,Oat,NCSU-ALT,oat-pea
164,82,Block6,NC09-4503N,NY,Oat,NCSU-ALT,oat
291,146,Block9,NC17-6440,NY,Oat,NCSU-ALT,oat
292,146,Block9,NC17-6440,NY,Oat,NCSU-ALT,oat-pea
181,91,Block6,NC20-4702,NY,Oat,NCSU-ALT,oat-pea
182,91,Block6,NC20-4702,NY,Oat,NCSU-ALT,oat
331,166,Block10,NC20-4795,NY,Oat,NCSU-ALT,oat-pea
332,166,Block10,NC20-4795,NY,Oat,NCSU-ALT,oat
13,7,Block2,NC21-6429,NY,Oat,NCSU-ALT,oat-pea
14,7,Block2,NC21-6429,NY,Oat,NCSU-ALT,oat
73,37,Block3,NC21-6475,NY,Oat,NCSU-ALT,oat-pea
74,37,Block3,NC21-6475,NY,Oat,NCSU-ALT,oat
121,61,Block5,NC21-6492,NY,Oat,NCSU-ALT,oat
122,61,Block5,NC21-6492,NY,Oat,NCSU-ALT,oat-pea
61,31,Block3,NC21-6497,NY,Oat,NCSU-ALT,oat-pea
62,31,Block3,NC21-6497,NY,Oat,NCSU-ALT,oat
307,154,Block9,NC21-6502,NY,Oat,NCSU-ALT,oat
308,154,Block9,NC21-6502,NY,Oat,NCSU-ALT,oat-pea
59,30,Block3,NC21-6505,NY,Oat,NCSU-ALT,oat-pea
60,30,Block3,NC21-6505,NY,Oat,NCSU-ALT,oat
349,175,Block10,NC21-6511,NY,Oat,NCSU-ALT,oat
350,175,Block10,NC21-6511,NY,Oat,NCSU-ALT,oat-pea
81,41,Block4,NC21-6576,NY,Oat,NCSU-ALT,oat
82,41,Block4,NC21-6576,NY,Oat,NCSU-ALT,oat-pea
313,157,Block9,NC21-6609,NY,Oat,NCSU-ALT,oat-pea
314,157,Block9,NC21-6609,NY,Oat,NCSU-ALT,oat
95,48,Block4,NC21-6610,NY,Oat,NCSU-ALT,oat-pea
96,48,Block4,NC21-6610,NY,Oat,NCSU-ALT,oat
21,11,Block2,Aurora,NY,Oat,Nobel,oat-pea
22,11,Block2,Aurora,NY,Oat,Nobel,oat
229,115,Block7,Clav 4476,NY,Oat,Nobel,oat-pea
230,115,Block7,Clav 4476,NY,Oat,Nobel,oat
17,9,Block2,Clav 6982,NY,Oat,Nobel,oat
18,9,Block2,Clav 6982,NY,Oat,Nobel,oat-pea
225,113,Block7,Clav 6982,NY,Oat,Nobel,oat-pea
226,113,Block7,Clav 6982,NY,Oat,Nobel,oat
117,59,Block4,Clav 7618,NY,Oat,Nobel,oat-pea
118,59,Block4,Clav 7618,NY,Oat,Nobel,oat
53,27,Block3,Harrison,NY,Oat,Nobel,oat-pea
54,27,Block3,Harrison,NY,Oat,Nobel,oat
115,58,Block4,Harrison,NY,Oat,Nobel,oat
116,58,Block4,Harrison,NY,Oat,Nobel,oat-pea
37,19,Block2,LA08039SBSBS-56-A1,NY,Oat,Nobel,oat-pea
38,19,Block2,LA08039SBSBS-56-A1,NY,Oat,Nobel,oat
197,99,Block6,LA08039SBSBS-56-A1,NY,Oat,Nobel,oat
198,99,Block6,LA08039SBSBS-56-A1,NY,Oat,Nobel,oat-pea
205,103,Block7,NF00407,NY,Oat,Nobel,oat-pea
206,103,Block7,NF00407,NY,Oat,Nobel,oat
273,137,Block8,NF00407,NY,Oat,Nobel,oat
274,137,Block8,NF00407,NY,Oat,Nobel,oat-pea
1,1,Block2,NF01401B,NY,Oat,Nobel,oat
2,1,Block2,NF01401B,NY,Oat,Nobel,oat-pea
257,129,Block8,NF01401B,NY,Oat,Nobel,oat
258,129,Block8,NF01401B,NY,Oat,Nobel,oat-pea
153,77,Block5,NF01404A,NY,Oat,Nobel,oat
154,77,Block5,NF01404A,NY,Oat,Nobel,oat-pea
23,12,Block2,NF05424_2,NY,Oat,Nobel,oat-pea
24,12,Block2,NF05424_2,NY,Oat,Nobel,oat
217,109,Block7,NF12AS-100-4_2,NY,Oat,Nobel,oat
218,109,Block7,NF12AS-100-4_2,NY,Oat,Nobel,oat-pea
243,122,Block8,NF12AS-100-4_2,NY,Oat,Nobel,oat-pea
244,122,Block8,NF12AS-100-4_2,NY,Oat,Nobel,oat
187,94,Block6,NF12AS-107-4_2-1,NY,Oat,Nobel,oat
188,94,Block6,NF12AS-107-4_2-1,NY,Oat,Nobel,oat-pea
245,123,Block8,NF12AS-107-4_2-1,NY,Oat,Nobel,oat
246,123,Block8,NF12AS-107-4_2-1,NY,Oat,Nobel,oat-pea
175,88,Block6,NF12AS-107-4_4,NY,Oat,Nobel,oat-pea
176,88,Block6,NF12AS-107-4_4,NY,Oat,Nobel,oat
343,172,Block10,NF12AS-107-4_4,NY,Oat,Nobel,oat
344,172,Block10,NF12AS-107-4_4,NY,Oat,Nobel,oat-pea
155,78,Block5,NF12AS-108-4_1,NY,Oat,Nobel,oat
156,78,Block5,NF12AS-108-4_1,NY,Oat,Nobel,oat-pea
357,179,Block10,NF12AS-108-4_1,NY,Oat,Nobel,oat
358,179,Block10,NF12AS-108-4_1,NY,Oat,Nobel,oat-pea
239,120,Block7,NF12AS-108-4_4,NY,Oat,Nobel,oat
240,120,Block7,NF12AS-108-4_4,NY,Oat,Nobel,oat-pea
327,164,Block10,NF12AS-108-4_4,NY,Oat,Nobel,oat-pea
328,164,Block10,NF12AS-108-4_4,NY,Oat,Nobel,oat
63,32,Block3,NF12AS-122-4_3,NY,Oat,Nobel,oat
64,32,Block3,NF12AS-122-4_3,NY,Oat,Nobel,oat-pea
141,71,Block5,NF12AS-122-4_3,NY,Oat,Nobel,oat
142,71,Block5,NF12AS-122-4_3,NY,Oat,Nobel,oat-pea
103,52,Block4,NF12AS-122-4_4,NY,Oat,Nobel,oat-pea
104,52,Block4,NF12AS-122-4_4,NY,Oat,Nobel,oat
147,74,Block5,NF12AS-122-4_4,NY,Oat,Nobel,oat-pea
148,74,Block5,NF12AS-122-4_4,NY,Oat,Nobel,oat
231,116,Block7,NF12AS-73-4_3,NY,Oat,Nobel,oat
232,116,Block7,NF12AS-73-4_3,NY,Oat,Nobel,oat-pea
19,10,Block2,NF12AS-91-4_1,NY,Oat,Nobel,oat-pea
20,10,Block2,NF12AS-91-4_1,NY,Oat,Nobel,oat
241,121,Block8,NF12AS-91-4_1,NY,Oat,Nobel,oat
242,121,Block8,NF12AS-91-4_1,NY,Oat,Nobel,oat-pea
79,40,Block3,NF13-4083-4_6,NY,Oat,Nobel,oat-pea
80,40,Block3,NF13-4083-4_6,NY,Oat,Nobel,oat
329,165,Block10,NF13-4083-4_6,NY,Oat,Nobel,oat
330,165,Block10,NF13-4083-4_6,NY,Oat,Nobel,oat-pea
57,29,Block3,NF13-4124-4_3,NY,Oat,Nobel,oat-pea
58,29,Block3,NF13-4124-4_3,NY,Oat,Nobel,oat
