"plot","pair","block","accession","state","crop","source","inter_crop","old_plot"
1,1,"Block2","NF01401B","NY","Oat","Nobel","oat",1
2,1,"Block2","NF01401B","NY","Oat","Nobel","oat-pea",2
3,2,"Block2","NF502_5","NY","Oat","Nobel","oat",3
4,2,"Block2","NF502_5","NY","Oat","Nobel","oat-pea",4
5,3,"Block2","NC20-4452","NY","Oat","UON","oat-pea",5
6,3,"Block2","NC20-4452","NY","Oat","UON","oat",6
7,4,"Block2","FLLA17088-77","NY","Oat","UON","oat",7
8,4,"Block2","FLLA17088-77","NY","Oat","UON","oat-pea",8
9,5,"Block2","TX18OCS9125","NY","Oat","UON","oat-pea",9
10,5,"Block2","TX18OCS9125","NY","Oat","UON","oat",10
11,6,"Block2","Okay","NY","Oat","Nobel","oat",11
12,6,"Block2","Okay","NY","Oat","Nobel","oat-pea",12
13,7,"Block2","NC21-6429","NY","Oat","NCSU-ALT","oat-pea",13
14,7,"Block2","NC21-6429","NY","Oat","NCSU-ALT","oat",14
15,8,"Block2","CalypsonBarley","NY","Barley","Barley","barley",15
16,8,"Block2","CalypsonBarley","NY","Barley","Barley","barley-pea",16
17,9,"Block2","Clav 6982","NY","Oat","Nobel","oat-pea",17
18,9,"Block2","Clav 6982","NY","Oat","Nobel","oat",18
19,10,"Block2","NF12AS-91-4_1","NY","Oat","Nobel","oat-pea",19
20,10,"Block2","NF12AS-91-4_1","NY","Oat","Nobel","oat",20
21,11,"Block2","Aurora","NY","Oat","Nobel","oat",21
22,11,"Block2","Aurora","NY","Oat","Nobel","oat-pea",22
23,12,"Block2","NF05424_2","NY","Oat","Nobel","oat-pea",23
24,12,"Block2","NF05424_2","NY","Oat","Nobel","oat",24
25,13,"Block2","NF13-4214-4_5","NY","Oat","Nobel","oat-pea",25
26,13,"Block2","NF13-4214-4_5","NY","Oat","Nobel","oat",26
27,14,"Block2","FLLA17069-52","NY","Oat","UON","oat",27
28,14,"Block2","FLLA17069-52","NY","Oat","UON","oat-pea",28
29,15,"Block2","NC20-4526","NY","Oat","UON","oat-pea",29
30,15,"Block2","NC20-4526","NY","Oat","UON","oat",30
31,16,"Block2","FLLA17069-53","NY","Oat","UON","oat",31
32,16,"Block2","FLLA17069-53","NY","Oat","UON","oat-pea",32
33,16.2569677457213,"Block2","BlazePea","NY","Pea","Pea","pea",9999
34,16.2569677457213,"Block2","BlazePea","NY","Pea","Pea","pea",9999
35,17,"Block2","SCLA17031SBSS-4-1","NY","Oat","UON","oat-pea",33
36,17,"Block2","SCLA17031SBSS-4-1","NY","Oat","UON","oat",34
37,18,"Block2","TX18OCS9104","NY","Oat","UON","oat",35
38,18,"Block2","TX18OCS9104","NY","Oat","UON","oat-pea",36
39,19,"Block2","LA08039SBSBS-56-A1","NY","Oat","Nobel","oat",37
40,19,"Block2","LA08039SBSBS-56-A1","NY","Oat","Nobel","oat-pea",38
41,20,"Block2","BlazePea","NY","Pea","Pea","pea",39
42,20,"Block2","BlazePea","NY","Pea","Pea","pea",40
43,21,"Block3","Savage","NY","Oat","UON","oat",41
44,21,"Block3","Savage","NY","Oat","UON","oat-pea",42
45,22,"Block3","NC19-3542","NY","Oat","UON","oat",43
46,22,"Block3","NC19-3542","NY","Oat","UON","oat-pea",44
47,23,"Block3","FLLA17088-77","NY","Oat","UON","oat-pea",45
48,23,"Block3","FLLA17088-77","NY","Oat","UON","oat",46
49,24,"Block3","NC20-4551","NY","Oat","UON","oat-pea",47
50,24,"Block3","NC20-4551","NY","Oat","UON","oat",48
51,25,"Block3","LA17089SBS-45-1-1","NY","Oat","UON","oat",49
52,25,"Block3","LA17089SBS-45-1-1","NY","Oat","UON","oat-pea",50
53,26,"Block3","PI 555733","NY","Oat","Nobel","oat",51
54,26,"Block3","PI 555733","NY","Oat","Nobel","oat-pea",52
55,27,"Block3","Harrison","NY","Oat","Nobel","oat",53
56,27,"Block3","Harrison","NY","Oat","Nobel","oat-pea",54
57,28,"Block3","BlazePea","NY","Pea","Pea","pea",55
58,28,"Block3","BlazePea","NY","Pea","Pea","pea",56
59,29,"Block3","NF13-4124-4_3","NY","Oat","Nobel","oat-pea",57
60,29,"Block3","NF13-4124-4_3","NY","Oat","Nobel","oat",58
61,30,"Block3","NC21-6505","NY","Oat","NCSU-ALT","oat",59
62,30,"Block3","NC21-6505","NY","Oat","NCSU-ALT","oat-pea",60
63,31,"Block3","NC21-6497","NY","Oat","NCSU-ALT","oat-pea",61
64,31,"Block3","NC21-6497","NY","Oat","NCSU-ALT","oat",62
65,31.7484044376761,"Block3","BlazePea","NY","Pea","Pea","pea",9999
66,31.7484044376761,"Block3","BlazePea","NY","Pea","Pea","pea",9999
67,32,"Block3","NF12AS-122-4_3","NY","Oat","Nobel","oat-pea",63
68,32,"Block3","NF12AS-122-4_3","NY","Oat","Nobel","oat",64
69,33,"Block3","Gerard 227","NY","Oat","NCSU-ALT","oat-pea",65
70,33,"Block3","Gerard 227","NY","Oat","NCSU-ALT","oat",66
71,34,"Block3","TX18OCS9100","NY","Oat","UON","oat-pea",67
72,34,"Block3","TX18OCS9100","NY","Oat","UON","oat",68
