observationunit_name,Canopy NDVI - UAS - index|day 290|COMP:0000100,Canopy NDVI - UAS - index|day 320|COMP:0000101,Canopy NDVI - UAS - index|day 92|COMP:0000102,Canopy NDVI - UAS - index|day 111|COMP:0000096,Canopy NDVI - UAS - index|day 133|COMP:0000097,Canopy NDVI - UAS - index|day 166|COMP:0000098,Canopy NDVI - UAS - index|day 190|COMP:0000099,Canopy NDVI - UAS - standard deviation|day 290|COMP:0000107,Canopy NDVI - UAS - standard deviation|day 320|COMP:0000108,Canopy NDVI - UAS - standard deviation|day 92|COMP:0000109,Canopy NDVI - UAS - standard deviation|day 111|COMP:0000103,Canopy NDVI - UAS - standard deviation|day 133|COMP:0000104,Canopy NDVI - UAS - standard deviation|day 166|COMP:0000105,Canopy NDVI - UAS - standard deviation|day 190|COMP:0000106
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_323_subplot_2,0.052959129,0.156810316,0.150760246,0.287776625,0.275074117,0.284668867,-0.012478432,0.029788075,0.09705467,0.191556634,0.179711702,0.15036757,0.048266633,0.068119876
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_322_subplot_2,0.064474662,0.097420259,-0.040182563,-0.000397223,-0.009447995,0.480071457,0.079674839,0.026332049,0.068761498,0.065585514,0.113762445,0.151937535,0.09753619,0.107375317
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_295_subplot_2,0.0693304,0.159146174,0.140876306,0.216551829,0.291736969,0.381818607,0.068225596,0.030529785,0.109643841,0.176651177,0.18403727,0.146714323,0.062480025,0.066208629
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_294_subplot_2,0.088310865,0.311603793,0.307656901,0.380074672,0.430466898,0.343725533,0.045878114,0.037223091,0.164426254,0.169421363,0.153590761,0.092622669,0.087667637,0.075790597
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_267_subplot_2,0.070643194,0.15387862,0.160321721,0.254459494,0.290103427,0.317572245,0.067133719,0.030314961,0.119729065,0.211539299,0.215507462,0.153480796,0.052988836,0.08995274
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_266_subplot_2,0.059249091,0.083713505,-0.000502684,0.035557479,0.092737534,0.498028325,0.053158508,0.026241276,0.090495346,0.131618295,0.165756494,0.189970938,0.069307533,0.072419982
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_239_subplot_2,0.068258381,0.191247289,0.231222518,0.34667217,0.392600509,0.37285378,-0.000917837,0.026721699,0.143401643,0.201605519,0.185020038,0.132322978,0.038624432,0.049101623
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_238_subplot_2,0.066250576,0.153465219,0.272683522,0.381854415,0.393450504,0.276399423,0.033144922,0.030439043,0.128259965,0.20541533,0.182043761,0.126069415,0.03569927,0.066943857
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_211_subplot_2,0.051646921,0.148452538,0.172822104,0.279508556,0.385299171,0.544653619,0.038963782,0.02675504,0.147853286,0.209636988,0.218309142,0.1579913,0.049462087,0.076932095
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_210_subplot_2,0.047366678,0.105725947,0.150466963,0.231529201,0.284358246,0.317829301,0.056927727,0.024150906,0.096564057,0.191478156,0.196853964,0.168680384,0.061365452,0.062837531
