"plot","block","Entry","Name","Pedigree"
1,1,438,"LAFL17541-5-1","TX09CS049/LA09015SBS-U2"
2,1,384,"FLLA17077-16","LA10001SSBS-20 / NC12-3447"
3,1,116,"LA09045SBS-U3","LA03046SBS7-B-S1/MN06120"
4,1,27,"FL1045-1","IL 02-8011/FL03117-L5(UFRGS B017108-2-5/Bw1000)"
5,1,47,"LA03040SBSBSB-83","LA9339/HORIZON321"
6,1,273,"FLLA17109-56","LA99016 / LA16153,F1 (NC12-3578 / TX14OCS5208)"
7,1,133,"NC10-5069y","SC961246 / Rodgers"
8,1,416,"TX20CAS1074","TX14OCS5208/TX09CS031//TX15OCS6137"
9,1,229,"TX14OCS5098","TX02U7097/HORIZON 321"
10,1,276,"FLLA17149-1","NC12-3447 / LA09015SBS-U1"
11,1,288,"FLLA16117-4","LA15040,F1,(FL0720-R6 / LA99017) / NC12-3578"
12,1,413,"TX20CAS1061","TX15OCS6138/TX07CS1228"
13,1,430,"LA17075SBS-36-2-1","LA10001SSBS-20 / LA10041SSBS-80"
14,1,92,"LA08024SBSBS-29-S1","FL0115-J2/LA97006GSB-59-2-4"
15,1,10,"FL0047-J9","Horizon 474/TX97C1168"
16,1,265,"FLLA17067-12","LA09015SBS-U4 / LA16170,F1 (TX14OCS5160 / HZN 306 )"
17,1,327,"LA17110SBSS-16-1","LA99016 / LA09015SBS-U1"
18,1,167,"NC14-1751","Gerard 224 / NC03-5579N"
19,1,262,"FLLA17028-12","HZN 306  / LA16032,F1 (FL0720-R6 / LA99017)"
20,1,435,"LA17130SBSS-27-1","MN11211 (SA081654)2 / LA16022,F1 (CANTARA / BW 823)"
21,1,296,"FLLA16102-78","LA10008SSBS-21 / NC09-4274N"
22,1,425,"LA17018SBSS-35-1","FL0720-R6 / LA10041SSBS-80"
23,1,55,"LA04018SBSB-181","TX96M1385/LA604//833"
24,1,342,"FLLA17088-77","LA10044SSBS-1 / LA10001SSBS-20"
25,1,407,"TX20CAS1041","TX14OCS5141/LA07070SBSBSBS-65-S1"
26,1,158,"NC14-1584","NC01-3497 / BYDV 121"
27,1,132,"NC09-4274N","LA 9339/SS76-40 // FLLA95131"
28,1,312,"LA15029SB-18-1-1","BW139-9/LA99016"
29,1,333,"FLLA17069-44","LA09015SBS-U4 / LA99016"
30,1,301,"TX20CAS1021","FLO522/TX07CS2783//TAMO405/LA9339(PS)///LA05011GSBS-30/TX02D079"
31,1,69,"LA07007SBSB-68","FL0206FSB-34-S2  /  LA06070,F1 (UFRGS046048-1/HZN 270)"
32,1,402,"FLLA16056-12","LA06059SBSBSB-46 / LA15120,F1,(TX09CS049 / LA07065SBSBSB-32)"
33,1,290,"FLLA16166-79","TX09CS065 / FL0720-R6"
34,1,286,"FLLA17084-28","LA10041SSBS-80 / LA99017"
35,1,56,"LA04018SBSB-86","HARRISON/TAMO405"
36,1,213,"TX14OCS5014","TX08Cas 1840//NF27"
37,1,194,"TX02U 7047","TAMO386ERB/TAMO386R/92SAT24-4"
38,1,118,"LA09066SBS-U3","MN06120/TX02U7682"
39,1,149,"NC14-1494","Gerard 224 / Caballo"
40,1,410,"TX20CAS1047","TX14OCS5159/LA07070SBSBSBS-65-S1"
41,1,38,"Gerard 229","NC93-2978/FL874S1G3//ARFOB3D"
42,1,254,"FL13123-54","FL06082-N6-Ab1 (TAMO 406/FL99175-H5 (TX93AB693/Plot Spike LA9339))/Bw 13"
43,1,266,"FLLA17069-41","LA09015SBS-U4 / LA99016"
44,1,336,"FLLA17069-54","LA09015SBS-U4 / LA99016"
45,1,198,"TX02U 7605","TX92M1596(79Bord/Kenya SR/TAMO 386)/TX83Ab2923"
46,1,364,"SCLA17152SBS-1-1","NC12-3447 / LA09015SBS-U1"
47,1,450,"TX17OCS8075","LA05006GSBS-65-S1/TX10CAS279"
48,1,287,"FLLA16028-42","FL0720-R6 / LA08016SBSBS-44-S1"
49,1,88,"LA07070SBSBSBS-65-S1","TX02U7473/UFRGS 01B7114-1-3"
50,1,424,"LA17017SBSS-16-1","FL0720-R6 / LA10001SSBS-20"
51,1,24,"FL1013-1","SD60130(SPURS/W00276)/UFRGS 087212-1"
52,1,209,"TX14OCS5004","TAMO405//NF95418"
53,1,107,"LA08086SBSBS-34","UFRGS 046050-4/FL0016-H4"
54,1,281,"FLLA17032-5","HZN 306  / NC09-4274N"
55,1,233,"TX14OCS5193","Horizon 201//TX02U7473"
56,1,279,"FLLA17017-69","FL0720-R6 / LA16048,F1 (HZN 306  / TX14OCS5212)"
57,1,249,"FL13110-68","LA06071-SBSB-S10 (UFRGS046048-1/TX02U7605)/BW 08-19)/LA08043SBSBS-4 (LA03046SBS7-B-S1/LA97006GSB-59-2-4)"
58,1,277,"FLLA17152-47","NC12-3447 / LA16016,F1 (BW 08-5 / MN11140)"
59,1,298,"TX20CAS1002","LA09026SBS-U1//TX09CS1112/LA06059"
60,1,245,"FLLA09015-U4","FL0210-J1/MN06023"
61,1,399,"FLLA17035-69","LA08084SBSBS-15 / LA10041SSBS-80"
62,1,90,"LA08021SBSBS-15-S1","FL01016-H4/LA99016"
