"plot_number","prow","pcol","grow","gcol","subplot"
928,1,"1",1,1,3
928,1,"1",1,2,2
928,1,"1",1,3,1
927,1,"2",1,1,3
927,1,"2",1,2,2
927,1,"2",1,3,1
323,1,"3",1,1,3
323,1,"3",1,2,2
323,1,"3",1,3,1
322,1,"4",1,1,3
322,1,"4",1,2,2
322,1,"4",1,3,1
295,1,"5",1,1,3
295,1,"5",1,2,2
295,1,"5",1,3,1
294,1,"6",1,1,3
294,1,"6",1,2,2
294,1,"6",1,3,1
267,1,"7",1,1,3
267,1,"7",1,2,2
267,1,"7",1,3,1
266,1,"8",1,1,3
266,1,"8",1,2,2
266,1,"8",1,3,1
239,1,"9",1,1,3
239,1,"9",1,2,2
239,1,"9",1,3,1
238,1,"10",1,1,3
238,1,"10",1,2,2
238,1,"10",1,3,1
211,1,"11",1,1,3
211,1,"11",1,2,2
211,1,"11",1,3,1
210,1,"12",1,1,3
210,1,"12",1,2,2
210,1,"12",1,3,1
183,1,"13",1,1,3
183,1,"13",1,2,2
183,1,"13",1,3,1
182,1,"14",1,1,3
182,1,"14",1,2,2
182,1,"14",1,3,1
926,2,"1",1,1,3
926,2,"1",1,2,2
926,2,"1",1,3,1
925,2,"2",1,1,3
925,2,"2",1,2,2
925,2,"2",1,3,1
324,2,"3",1,1,3
324,2,"3",1,2,2
324,2,"3",1,3,1
321,2,"4",1,1,3
321,2,"4",1,2,2
321,2,"4",1,3,1
296,2,"5",1,1,3
296,2,"5",1,2,2
296,2,"5",1,3,1
293,2,"6",1,1,3
293,2,"6",1,2,2
293,2,"6",1,3,1
268,2,"7",1,1,3
268,2,"7",1,2,2
268,2,"7",1,3,1
265,2,"8",1,1,3
265,2,"8",1,2,2
265,2,"8",1,3,1
240,2,"9",1,1,3
240,2,"9",1,2,2
240,2,"9",1,3,1
237,2,"10",1,1,3
237,2,"10",1,2,2
237,2,"10",1,3,1
212,2,"11",1,1,3
212,2,"11",1,2,2
212,2,"11",1,3,1
209,2,"12",1,1,3
209,2,"12",1,2,2
209,2,"12",1,3,1
184,2,"13",1,1,3
184,2,"13",1,2,2
184,2,"13",1,3,1
181,2,"14",1,1,3
181,2,"14",1,2,2
181,2,"14",1,3,1
924,3,"1",1,1,3
924,3,"1",1,2,2
924,3,"1",1,3,1
923,3,"2",1,1,3
923,3,"2",1,2,2
923,3,"2",1,3,1
325,3,"3",1,1,3
325,3,"3",1,2,2
325,3,"3",1,3,1
320,3,"4",1,1,3
320,3,"4",1,2,2
320,3,"4",1,3,1
297,3,"5",1,1,3
297,3,"5",1,2,2
297,3,"5",1,3,1
292,3,"6",1,1,3
292,3,"6",1,2,2
292,3,"6",1,3,1
269,3,"7",1,1,3
269,3,"7",1,2,2
269,3,"7",1,3,1
264,3,"8",1,1,3
264,3,"8",1,2,2
264,3,"8",1,3,1
241,3,"9",1,1,3
241,3,"9",1,2,2
241,3,"9",1,3,1
236,3,"10",1,1,3
236,3,"10",1,2,2
236,3,"10",1,3,1
213,3,"11",1,1,3
213,3,"11",1,2,2
213,3,"11",1,3,1
208,3,"12",1,1,3
208,3,"12",1,2,2
208,3,"12",1,3,1
185,3,"13",1,1,3
185,3,"13",1,2,2
185,3,"13",1,3,1
180,3,"14",1,1,3
180,3,"14",1,2,2
180,3,"14",1,3,1
359,4,"1",1,1,3
359,4,"1",1,2,2
359,4,"1",1,3,1
358,4,"2",1,1,3
358,4,"2",1,2,2
358,4,"2",1,3,1
326,4,"3",1,1,3
326,4,"3",1,2,2
326,4,"3",1,3,1
319,4,"4",1,1,3
319,4,"4",1,2,2
319,4,"4",1,3,1
298,4,"5",1,1,3
298,4,"5",1,2,2
298,4,"5",1,3,1
291,4,"6",1,1,3
291,4,"6",1,2,2
291,4,"6",1,3,1
270,4,"7",1,1,3
270,4,"7",1,2,2
270,4,"7",1,3,1
263,4,"8",1,1,3
263,4,"8",1,2,2
263,4,"8",1,3,1
242,4,"9",1,1,3
242,4,"9",1,2,2
242,4,"9",1,3,1
235,4,"10",1,1,3
235,4,"10",1,2,2
235,4,"10",1,3,1
214,4,"11",1,1,3
214,4,"11",1,2,2
214,4,"11",1,3,1
207,4,"12",1,1,3
207,4,"12",1,2,2
207,4,"12",1,3,1
186,4,"13",1,1,3
186,4,"13",1,2,2
186,4,"13",1,3,1
179,4,"14",1,1,3
179,4,"14",1,2,2
179,4,"14",1,3,1
360,5,"1",1,1,3
360,5,"1",1,2,2
360,5,"1",1,3,1
