observationUnitName,observationUnitDbId,plot_number,subplot,plot_subplot,blue_mean,ExG_01_mean,green_mean,NDVI_mean,nir_mean,red_mean,red_edge_mean
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_100_subplot_1,716756,100,1,100_1,25609.7795,0.78536922,32484.83161,0.257115587,37895.45445,22384.88613,36061.34438
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_100_subplot_2,716757,100,2,100_2,22325.80985,0.938339649,29948.96521,0.345674599,39416.98105,18691.61488,35037.268
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_100_subplot_3,716758,100,3,100_3,20702.24672,0.982746722,28193.91373,0.397195683,40213.7971,16813.72015,34071.73361
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_101_subplot_1,716819,101,1,101_1,25536.74111,0.673110114,30891.09838,0.26723767,38757.52226,21934.45219,34794.61305
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_101_subplot_2,716820,101,2,101_2,25727.69276,0.645862069,30835.02345,0.259279336,38778.99862,22294.41241,34645.78172
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_101_subplot_3,716821,101,3,101_3,26665.12595,0.549344375,30954.20117,0.211029792,36973.52208,23523.55176,33908.59834
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_102_subplot_1,716180,102,1,102_1,25202.12836,0.870255349,30880.49068,0.400305923,44887.5804,18940.5666,36785.47826
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_102_subplot_2,716181,102,2,102_2,22499.2931,0.973793103,28802.86517,0.493747779,47796.10655,15783.00517,36111.52828
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_102_subplot_3,716182,102,3,102_3,21110.15154,1,27736.99689,0.57006785,50856.93476,13736.15119,35584.31688
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_103_subplot_1,716630,103,1,103_1,30689.12931,0.595517241,34758.04034,0.164516359,38258.19793,27302.02759,36744.09793
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_103_subplot_2,716631,103,2,103_2,32057.18752,0.544639779,35881.35608,0.137105277,37866.1403,28722.99035,37221.59738
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_103_subplot_3,716632,103,3,103_3,33802.26087,0.501035197,37244.53071,0.10951645,37393.60317,30008.09834,37759.36888
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_104_subplot_1,716666,104,1,104_1,35312.23101,0.325621547,38034.0145,0.043313968,35527.25242,32613.58115,37928.59772
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_104_subplot_2,716667,104,2,104_2,31828.55981,0.445363668,35544.22268,0.076619398,34992.19993,29911.94037,36493.93416
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_104_subplot_3,716668,104,3,104_3,31013.46032,0.511732229,35426.51691,0.095335943,35402.95135,29146.48033,36758.76432
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_105_subplot_1,717110,105,1,105_1,23744.00276,0.880952381,30252.47895,0.359607533,41018.83057,19029.67081,36457.37888
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_105_subplot_2,717111,105,2,105_2,24368.88962,0.923766816,31268.22525,0.366854865,41642.11487,18920.17247,37306.20421
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_105_subplot_3,717112,105,3,105_3,24861.80283,0.887280248,31660.17959,0.328513801,40384.81834,20098.94037,37225.21337
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_106_subplot_1,716786,106,1,106_1,26857.25595,0.705070714,32231.90893,0.270992122,39703.901,22643.90962,36799.59676
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_106_subplot_2,716787,106,2,106_2,25298.94002,0.823853844,31481.24371,0.319725008,40355.46329,20664.76732,36624.42227
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_106_subplot_3,716788,106,3,106_3,22309.44356,0.910942354,29222.12081,0.397835719,41792.14014,17740.18951,35747.64688
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_107_subplot_1,717212,107,1,107_1,38744.79124,0.610075914,40363.43651,0.191326159,43082.29331,29316.44237,42544.42926
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_107_subplot_2,717213,107,2,107_2,39344.68218,0.581178904,40958.7849,0.169516304,41988.92796,29897.92623,42481.56705
