"observationUnitName","observationUnitDbId","plot_number","subplot","plot_subplot","blue_mean","ExG_01_mean","green_mean","NDVI_mean","nir_mean","red_mean","red_edge_mean"
"Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_100_subplot_1",716756,100,1,"100_1",28973.6883738043,0.0372670807453416,31931.6920529801,0.121093648631366,42640.2821927888,34020.9974245769,41467.5772626932
"Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_100_subplot_2",716757,100,2,"100_2",19756.7078280044,0.211160868067516,23992.2282249173,0.232476707559994,37401.3829474458,23461.8533627343,33210.3325983094
"Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_100_subplot_3",716758,100,3,"100_3",18871.8341301949,0.249827467218772,23313.498712762,0.242762583581543,37054.2890768665,22598.0371460096,32667.2397940419
"Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_101_subplot_1",716819,101,1,"101_1",19457.7176470588,0.377977217811529,24369.9632352941,0.228336978082646,37365.6018382353,23339.1650735294,33872.3268382353
"Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_101_subplot_2",716820,101,2,"101_2",19508.3896247241,0.399310344827586,24382.7189109639,0.230711446924155,37276.5824135394,23160.2858719647,33449.1714495953
"Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_101_subplot_3",716821,101,3,"101_3",29165.6944852941,0.117667356797792,31725.1261029412,0.0999460477357488,40577.2908088235,33962.1797794118,39256.6161764706
"Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_102_subplot_1",716180,102,1,"102_1",16055.8758721998,0.974120082815735,21298.1883951524,0.533264722837822,48167.0407638634,14375.207124495,32925.0477414616
"Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_102_subplot_2",716181,102,2,"102_2",15354.0993377483,0.972068965517241,20782.4587932303,0.501557428044246,45630.7236938926,14878.9694628403,32418.9197939661
"Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_102_subplot_3",716182,102,3,"102_3",22293.8938280676,0.573351743182603,27066.525716385,0.344447115244418,47015.3210874357,23625.3137398971,38504.1410727406
"Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_103_subplot_1",716630,103,1,"103_1",19445.3283032757,0.683448275862069,24097.6267942584,0.346864978511381,42226.043798307,20595.2009569378,33691.986382039
"Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_103_subplot_2",716631,103,2,"103_2",20019.2019089574,0.640468803860738,25149.0209251101,0.310799312330936,41594.3171806167,21851.2610132159,34293.954845815
"Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_103_subplot_3",716632,103,3,"103_3",25888.4611704085,0.290200138026225,30565.2189915348,0.193110898940924,42627.2252484358,29060.5962458594,39798.048214943
"Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_104_subplot_1",716666,104,1,"104_1",25573.578928047,0.363950276243094,30953.9482378855,0.132857330070304,37507.8050660793,28960.6582232012,38583.2595447871
"Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_104_subplot_2",716667,104,2,"104_2",24022.4771723122,0.178214408824543,29250.9661266569,0.114804958212577,36124.1620029455,28930.9539764359,36984.249263623
"Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_104_subplot_3",716668,104,3,"104_3",30493.5704845815,0.115942028985507,34666.7114537445,0.0891835383627255,40591.7019089574,34359.9467694567,43134.5378120411
"Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_105_subplot_1",717110,105,1,"105_1",15704.4547794118,0.939958592132505,21229.7055147059,0.414093735814094,38125.2102941176,15600.0264705882,32361.2897058824
"Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_105_subplot_2",717111,105,2,"105_2",16454.5795663359,0.948258020006899,22171.0801176038,0.415231467781937,39199.9481808159,16018.5045938993,33335.6865123117
