"","observationUnitName","plotNumber","observationLevel","germplasmName","Grain weight - g|CO_350:0005123"
"1","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_1",1,"plot","NF01401B",866
"2","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_3",3,"plot","NF502_5",924
"3","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_10",10,"plot","TX18OCS9125",970
"4","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_16",16,"plot","NC21-6429",1189
"5","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_19",19,"plot","Clav 6982",730
"6","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_24",24,"plot","AURORA",1039
"7","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_26",26,"plot","NF05424_2",786
"8","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_28",28,"plot","NF13-4214-4_5",696
"9","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_29",29,"plot","FLLA17069-52",979
"10","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_31",31,"plot","NC20-4526",1193
"11","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_34",34,"plot","FLLA17069-53",789
"12","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_36",36,"plot","SCLA17031SBSS-4-1",1009
"13","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_37",37,"plot","TX18OCS9104",1092
"14","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_48",48,"plot","FLLA17088-77",1030
"15","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_49",49,"plot","NC20-4551",1104
"16","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_56",56,"plot","HARRISON",881
"17","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_63",63,"plot","NC21-6505",725
"18","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_65",65,"plot","NC21-6497",947
"19","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_72",72,"plot","TX18OCS9100",819
"20","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_74",74,"plot","FLLA17069-65",1013
"21","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_78",78,"plot","NC21-6475",831
"22","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_85",85,"plot","NC21-6576",802
"23","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_87",87,"plot","SCLA17018SBSS-45-1",678
"24","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_93",93,"plot","TX19CAS0058",934
"25","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_95",95,"plot","NF99401_1-1",813
"26","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_97",97,"plot","NC20-4452",1174
"27","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_100",100,"plot","NC21-6610",960
"28","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_102",102,"plot","FLLA17069-54",667
"29","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_124",124,"plot","Clav 7618",646
"30","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_128",128,"plot","NC21-6492",940
"31","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_134",134,"plot","NORA",791
"32","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_147",147,"plot","NF12AS-122-4_3",767
"33","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_149",149,"plot","NC09-4503N",764
"34","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_151",151,"plot","NF13-4124-4_8",760
"35","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_153",153,"plot","NF12AS-122-4_4",796
"36","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_155",155,"plot","NF13-4214-4_1",837
"37","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_159",159,"plot","NF01404A",929
"38","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_161",161,"plot","NF12AS-108-4_1",874
"39","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_168",168,"plot","NF13-4153-4_2",747
