,observationUnitName,germplasmName,Grain weight - g|CO_350:0005123,plots_to_plant,selIndex
1,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_338,NF13-4126-4_3,1035,4,60.46
2,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_249,Gerard 227,1076,4,51.486
3,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_31,NC20-4526,1193,4,47.731
4,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_97,NC20-4452,1174,4,42.879
5,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_16,NC21-6429,1189,4,42.302
6,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_174,NF99414-1,903,4,39.97
7,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_24,AURORA,1039,4,39.434
8,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_223,LA17089SBS-45-1-1,1022,4,35.882
9,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_56,HARRISON,881,4,33.539
10,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_212,PA7617-3460,919,4,30.841
11,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_128,NC21-6492,940,4,30.345
12,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_180,LA17153SBSS-46-1,813,4,28.869
13,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_10,TX18OCS9125,970,4,28.773
14,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_282,Horizon 578,872,4,25.28
15,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_49,NC20-4551,1104,4,24.268
16,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_367,NC21-6511,927,4,21.849
17,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_159,NF01404A,929,4,21.362
18,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_100,NC21-6610,960,4,21.19
19,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_48,FLLA17088-77,1030,4,19.508
20,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_247,NC20-4700,1015,4,18.877
21,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_237,LA99016,1119,4,17.156
22,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_233,OKAY,1068,4,16.707
23,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_264,NF97405B2,891,4,15.76
24,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_186,NF12AS-107-4_4,964,4,15.05
25,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_251,NF12AS-108-4_4,831,4,12.373
26,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_102,FLLA17069-54,667,4,10.617
27,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_161,NF12AS-108-4_1,874,4,10.278
28,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_192,NC20-4702,994,4,9.162
29,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_244,LA17069SBSS-2-1,1007,4,8.793
30,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_316,SCLA17080SBS-4-2,984,4,8.1
31,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_284,NF97405-1,901,4,7.969
32,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_341,NF13-4173-4_5,784,4,6.691
33,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_241,NF12AS-73-4_3,849,4,6.43
34,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_253,NF12AS-91-4_1,835,4,6.184
35,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_1,NF01401B,866,4,6.031
36,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_36,SCLA17031SBSS-4-1,1009,4,5.963
37,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_153,NF12AS-122-4_4,796,4,5.878
38,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_330,NC21-6609,831,4,5.724
39,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_3,NF502_5,924,4,5.683
40,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_261,NC19-3542,1027,4,5.089
41,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_95,NF99401_1-1,813,4,4.562
42,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_65,NC21-6497,947,4,4.207
43,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_305,NC17-6440,769,4,3.212
44,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_134,NORA,791,4,3.063
45,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_28,NF13-4214-4_5,696,4,2.696
46,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_194,FLLA17088-61,962,4,2.476
47,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_378,NF99414,695,4,1.348
48,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_203,OZARK|POGI,859,4,0.405
49,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_276,NF18,983,4,0.269
50,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_216,NF00407,931,4,-0.381
51,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_182,NC20-4402,977,4,-0.532
52,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_26,NF05424_2,786,4,-2.08
53,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_297,FLLA11019-8,934,4,-2.238
54,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_334,NF13-4157-4_2,953,4,-2.966
55,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_227,NF12AS-100-4_2,949,4,-4.823
56,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_217,GERARD224,941,4,-5.392
57,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_258,NF12AS-107-4_2-1,890,4,-5.702
58,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_323,NC21-6502,828,4,-6.732
59,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_327,Juggernaut,894,4,-7.398
60,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_37,TX18OCS9104,1092,4,-9.08
61,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_183,LA17153SBSS-55-1,988,4,-9.113
62,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_199,HORIZON201,921,4,-9.919
63,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_201,PA7617-3658,948,4,-10.347
64,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_155,NF13-4214-4_1,837,4,-11.117
65,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_347,NC20-4795,833,4,-11.228
66,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_72,TX18OCS9100,819,4,-11.233
67,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_313,LA17129SBSS-8-1,899,4,-12.036
68,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_346,NF13-4083-4_6,793,4,-12.747
69,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_349,NF13-4124-4_3,818,4,-13.243
70,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_93,TX19CAS0058,934,4,-14.094
71,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_85,NC21-6576,802,4,-14.296
72,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_370,NF13-4173-4_4,911,4,-14.571
73,Cornell_WinterOatFounders_2024_Headrow_38,SA21,99.23,2,NA
74,Cornell_WinterOatFounders_2024_Headrow_42,DOMACA_ZOB,120.98,2,NA
75,Cornell_WinterOatFounders_2024_Headrow_52,AVE265_59,144.17,2,NA
76,Cornell_WinterOatFounders_2024_Headrow_66,PI344827,132.53,2,NA
77,Cornell_WinterOatFounders_2024_Headrow_68,PI365615,92.8,2,NA
78,Cornell_WinterOatFounders_2024_Headrow_69,PI365616,126.29,2,NA
79,Cornell_WinterOatFounders_2024_Headrow_70,PI365619,139.23,2,NA
80,Cornell_WinterOatFounders_2024_Headrow_71,PI365621,98.59,2,NA
81,Cornell_WinterOatFounders_2024_Headrow_72,PI365622,158.56,2,NA
82,Cornell_WinterOatFounders_2024_Headrow_74,CAV2980,117.61,2,NA
83,Cornell_WinterOatFounders_2024_Headrow_75,CAV3163,138.8,2,NA
84,Cornell_WinterOatFounders_2024_Headrow_76,CAV3088,186.69,2,NA
85,Cornell_WinterOatFounders_2024_Headrow_8,RADNORSHIRE_SPRIG|CIAV3219,91.7,2,NA
86,Cornell_WinterOatFounders_2024_Headrow_83,KARCAGI,112.2,2,NA
87,Cornell_WinterOatFounders_2024_Headrow_93,28C2,120.71,2,NA
88,Cornell_WinterOatFounders_2024_Headrow_96,BLACK_MESDAG|PI93284,129.85,2,NA
89,NA,Blaze,NA,16,NA
